run_date,case_id,module,D1_structural,D2_instruction,D3_falsifiability,D4_relevance,D5_diversity,D6_nonhallucination,average,verdict,notes
2026-03-25,DF-01,DomainFramer,5,5,4,5,N/A,5,4.8,acceptable,"D3: all falsification_conditions are measurable with numeric thresholds. Minor: TC-03 falsification condition could specify the turnover threshold more precisely. D6: Jegadeesh & Titman 1993 and AQR momentum are real verified approaches; Asness et al. 2013 is a real paper. No hallucinations detected."
2026-03-25,DF-04,DomainFramer,5,5,3,4,N/A,5,4.4,acceptable,"D3: falsification_conditions are generic because input is vague; TC-01 condition is circular in structure but justified given absent problem definition. D4: correctly defers to user for missing parameters rather than inventing them. D6: SPIVA statistic (70-80%) is real and approximately accurate."
2026-03-25,CG-01,CandidateGenerator,5,5,N/A,5,5,5,5.0,acceptable,"D5: three genuinely different architectures — pure price sort vs risk-adjusted signal vs multi-factor composite with value overlay. Data requirements differ materially. D6: no fabricated approaches or outcomes. D4: correctly stays within Python tooling constraint; no live trading."
2026-03-25,CG-03,CandidateGenerator,5,5,N/A,5,5,5,5.0,acceptable,"D2: correctly avoids '12-month return sort' in all 3 candidates. Baseline uses fundamental momentum (EPS) as genuine alternative. D5: truly distinct — earnings momentum vs price reversal/momentum hybrid vs ML. D4: all candidates use freely available tools; no forbidden approach resurrected."
2026-03-25,VP-01,ValidationPlanner,5,5,5,5,N/A,5,5.0,acceptable,"D1: all 4 required tests present. D3: ALL failure_conditions contain numeric thresholds (Sharpe < 0.5, t < 1.65, drawdown > 40%, etc.). No vague conditions. D4: failure conditions reference risk-adjusted metrics not just raw return. Exemplary falsifiability."
2026-03-25,VP-03,ValidationPlanner,5,5,4,5,N/A,5,4.8,acceptable,"D1: all 4 required + sensitivity test present (5 total, correct for blocking gap). D3: ABORT conditions are explicit data-availability checks — correct and non-trivial. Minor gap: T-04 regime split failure conditions reference sample size rather than performance thresholds — borderline measurable. D4: correctly acknowledges blocking condition in every test method_summary."
2026-03-25,DF-02,DomainFramer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,not_run,"API error: ANTHROPIC_API_KEY credit exhausted (GitHub Actions)"
2026-03-25,DF-03,DomainFramer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,not_run,"API error: ANTHROPIC_API_KEY credit exhausted (GitHub Actions)"
2026-03-25,DF-05,DomainFramer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,not_run,"API error: ANTHROPIC_API_KEY credit exhausted (GitHub Actions)"
2026-03-25,CG-02,CandidateGenerator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,not_run,"API error: ANTHROPIC_API_KEY credit exhausted (GitHub Actions)"
2026-03-25,CG-04,CandidateGenerator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,not_run,"API error: ANTHROPIC_API_KEY credit exhausted (GitHub Actions)"
2026-03-25,VP-02,ValidationPlanner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,not_run,"API error: ANTHROPIC_API_KEY credit exhausted (GitHub Actions)"
